DROPSHIPPING P&L / UNIT ECONOMICS TEMPLATE,,,,
Open in Excel / Google Sheets / LibreOffice. Edit only the INPUT cells. Other cells are formulas.,,,,
,,,,
=== BLOCK 1: UNIT ECONOMICS (per order) ===,,,,
Field,Value (EDIT inputs),Notes,,
Selling price (incl. price customer pays ex-VAT),34.99,INPUT,,
Product cost (COGS),9.00,INPUT,,
Supplier shipping,3.00,INPUT,,
Landed cost,=B7+B8,formula,,
Payment processing fee %,0.03,INPUT (e.g. 0.03 = 3%),,
Payment fee (amount),=B6*B10,formula,,
Gross profit per order (before ads),=B6-B9-B11,formula,,
Break-even ROAS,=B6/B12,need ROAS above this to not lose money,,
Target ROAS (for real profit),2.0,INPUT,,
CPA (ad cost per sale),15.00,INPUT,,
Refund/chargeback reserve %,0.05,INPUT,,
Refund reserve (amount),=B6*B16,formula,,
Net contribution per order,=B12-B15-B17,formula — must be POSITIVE,,
Markup multiple (price / landed),=B6/B9,aim for 3x-4x+,,
,,,,
=== BLOCK 2: DAILY AD TEST TRACKER ===,,,,
Date,Ad set / Creative,Ad spend,Revenue,Orders,ROAS,CPA
2026-07-01,Creative A,20.00,0,0,=IF(C24=0,0,D24/C24),=IF(E24=0,0,C24/E24)
2026-07-01,Creative B,20.00,34.99,1,=IF(C25=0,0,D25/C25),=IF(E25=0,0,C25/E25)
2026-07-02,Creative B,30.00,104.97,3,=IF(C26=0,0,D26/C26),=IF(E26=0,0,C26/E26)
,,,,,,
,,,,,,
,TOTALS,=SUM(C24:C28),=SUM(D24:D28),=SUM(E24:E28),=IF(C29=0,0,D29/C29),=IF(E29=0,0,C29/E29)
,,,,,,
Rule: kill ad sets below break-even ROAS after enough spend (~1-2x product price). Scale winners ~20% at a time.,,,,,,
,,,,,,
=== BLOCK 3: MONTHLY P&L (Spain-aware) ===,,,,,,
Line,Amount,Notes,,,,
Revenue (ex-VAT),5000.00,INPUT — sales excluding the IVA you collect,,,,
COGS (product + supplier shipping),1500.00,INPUT,,,,
Gross profit,=B36-B37,formula,,,,
Ad spend,2200.00,INPUT,,,,
Payment processing fees,150.00,INPUT,,,,
Refunds/chargebacks,250.00,INPUT,,,,
App/platform subscriptions (Shopify etc.),60.00,INPUT,,,,
Gestor (accountant),60.00,INPUT,,,,
Cuota autónomo (RETA),80.00,INPUT — 80 tarifa plana yr1; ~200-260+ after,,,,
Total operating expenses,=SUM(B39:B45),formula,,,,
Net profit BEFORE income tax,=B38-B46,formula,,,,
IRPF set-aside (~20% of net profit),=IF(B47>0,B47*0.2,0),NOT profit — reserve it,,,,
Net profit AFTER income-tax reserve,=B47-B48,formula — your real take-home,,,,
,,,,,,
REMINDER: IVA you collect (21%) is NEVER yours. Keep it in a separate account and pay it via modelo 303.,,,,,,
